#MaxStocks				
19				
CU	prSmax	prCV		
Babine-Late-Wild	2004	249231	281924	0.471
Babine-Late-Wild	2005	163178	66052	0.359
Babine-Late-Wild	2006	137660	58142	0.522
Babine-Late-Wild	2007	100762	12758	0.571
Babine-Late-Wild	2008	93158	NA	0.592
Babine-Late-Wild	2009	93791	NA	0.277
Babine-Late-Wild	2010	74126	NA	0.269
Bear	1954	25929	NA	NA
Bear	1955	12911	NA	NA
Bear	1956	21208	3160	NA
Bear	1957	21518	4231	NA
Bear	1958	21518	3627	NA
Bear	1959	4304	3494	NA
Bear	1960	816	3856	0.523
Bear	1961	2131	3320	0.495
Bear	1962	2039	4599	0.541
Bear	1963	1973	NA	0.332
Bear	1964	1832	NA	0.523
Bear	1965	2255	NA	0.444
Bear	1966	916	3336	0.616
Bear	1967	2039	15042	0.676
Bear	1968	2039	NA	0.598
Bear	1970	1550	NA	0.495
Bear	1971	600	NA	0.537
Bear	1972	10501	NA	0.551
Bear	1973	15001	NA	0.614
Bear	1975	150	2831	0.414
Bear	1978	705	NA	0.59
Bear	1979	2325	NA	0.551
Bear	1980	487	NA	0.582
Bear	1981	620	NA	0.563
Bear	1985	650	458	0.551
Bear	1987	3248	1206	0.359
Bear	1988	974	NA	0.606
Bear	1989	209	NA	0.506
Bear	1990	169	NA	0.56
Bear	1991	423	5156	0.581
Bear	1992	564	2292	0.609
Bear	1993	282	266	0.571
Bear	1995	2255	4078	0.613
Bear	1996	1691	NA	0.681
Bear	1997	28	NA	0.683
Bear	1998	113	NA	0.38
Bear	1999	1127	NA	0.175
Bear	2000	2490	NA	0.608
Bear	2001	1867	NA	0.481
Bear	2003	8713	NA	0.337
Bear	2004	1867	NA	0.343
Bear	2009	3461	NA	0.151
Bear	2010	4008	NA	0.163
Damshilgwit	2000	949	381	0.608
Damshilgwit	2001	855	482	0.481
Damshilgwit	2002	398	569	0.508
Damshilgwit	2003	430	379	0.337
Damshilgwit	2004	293	257	0.343
Damshilgwit	2005	216	NA	0.275
Damshilgwit	2006	331	NA	0.464
Damshilgwit	2007	366	NA	0.361
Damshilgwit	2008	150	NA	0.383
Damshilgwit	2009	161	NA	0.151
Damshilgwit	2010	740	NA	0.163
Johnston	1954	1000	NA	NA
Johnston	1955	50	NA	NA
Johnston	1956	10	NA	NA
Johnston	1958	100	NA	NA
Johnston	1965	4	5927	0.201
Johnston	1966	50	11779	0.279
Johnston	1967	1500	16394	0.306
Johnston	1968	1500	12771	0.271
Johnston	1969	800	4869	0.223
Johnston	1970	7000	2725	0.224
Johnston	1971	10000	5294	0.243
Johnston	1972	15000	4104	0.249
Johnston	1973	6000	NA	0.278
Johnston	1974	1500	NA	0.301
Johnston	1975	2000	NA	0.187
Johnston	1976	6000	NA	0.254
Johnston	1977	1000	NA	0.257
Johnston	1978	1000	NA	0.267
Johnston	1981	1007	1636	0.255
Johnston	1982	1007	1273	0.291
Johnston	1985	1813	NA	0.305
Johnston	1986	705	NA	0.241
Johnston	1987	1209	NA	0.135
Johnston	1988	1410	NA	0.395
Johnston	1989	604	NA	0.271
Johnston	1991	1226	NA	0.293
Johnston	1995	12258	10795	0.348
Johnston	1997	8172	8212	0.488
Johnston	1999	16344	NA	0.13
Johnston	2000	3000	NA	0.355
Johnston	2001	9000	NA	0.194
Johnston	2002	4000	NA	0.272
Johnston	2003	10100	NA	0.165
Kitsumkalum	1954	16880	NA	NA
Kitsumkalum	1955	7756	NA	NA
Kitsumkalum	1956	16310	3722	NA
Kitsumkalum	1957	3536	5084	NA
Kitsumkalum	1958	7756	4319	NA
Kitsumkalum	1959	7756	3718	NA
Kitsumkalum	1960	1026	4944	0.477
Kitsumkalum	1961	2737	5405	0.451
Kitsumkalum	1962	2737	6958	0.493
Kitsumkalum	1963	2473	6605	0.303
Kitsumkalum	1964	1854	4866	0.477
Kitsumkalum	1965	3650	4460	0.405
Kitsumkalum	1966	1939	5395	0.562
Kitsumkalum	1967	3536	11396	0.617
Kitsumkalum	1968	2167	16779	0.546
Kitsumkalum	1969	2737	18036	0.448
Kitsumkalum	1970	2167	12137	0.452
Kitsumkalum	1971	2737	6323	0.49
Kitsumkalum	1972	7756	10528	0.502
Kitsumkalum	1973	7756	9189	0.56
Kitsumkalum	1974	7756	3217	0.606
Kitsumkalum	1975	4334	2072	0.377
Kitsumkalum	1976	2167	1951	0.512
Kitsumkalum	1977	7756	2373	0.517
Kitsumkalum	1978	2167	2278	0.538
Kitsumkalum	1979	958	2239	0.502
Kitsumkalum	1980	1026	3991	0.531
Kitsumkalum	1981	798	5138	0.513
Kitsumkalum	1982	1255	6442	0.586
Kitsumkalum	1983	1004	7477	0.406
Kitsumkalum	1984	1299	8456	0.436
Kitsumkalum	1985	2599	12155	0.507
Kitsumkalum	1986	2599	16794	0.458
Kitsumkalum	1987	5197	32315	0.323
Kitsumkalum	1988	3118	40185	0.569
Kitsumkalum	1989	4678	43848	0.464
Kitsumkalum	1990	6843	49285	0.531
Kitsumkalum	1991	6843	36755	0.555
Kitsumkalum	1992	18249	34792	0.601
Kitsumkalum	1993	15968	NA	0.547
Kitsumkalum	1994	25092	NA	0.494
Kitsumkalum	1995	22241	NA	0.575
Kitsumkalum	1996	8668	33216	0.629
Kitsumkalum	1997	16652	31359	0.626
Kitsumkalum	1998	17792	50212	0.316
Kitsumkalum	2000	22993	25322	0.492
Kitsumkalum	2001	13728	22725	0.438
Kitsumkalum	2002	18331	29787	0.435
Kitsumkalum	2003	46990	35819	0.295
Kitsumkalum	2004	23126	38574	0.303
Kitsumkalum	2005	14800	NA	0.195
Kitsumkalum	2006	15762	NA	0.364
Kitsumkalum	2007	20621	NA	0.375
Kitsumkalum	2008	25411	NA	0.334
Kitsumkalum	2009	32318	NA	0.122
Kitsumkalum	2010	50490	NA	0.127
Kitwancool	1960	800	1052	0.505
Kitwancool	1961	400	NA	0.477
Kitwancool	1962	400	NA	0.521
Kitwancool	1964	400	NA	0.504
Kitwancool	1965	800	NA	0.428
Kitwancool	1966	400	NA	0.594
Kitwancool	1977	50	NA	0.547
Kitwancool	1978	150	NA	0.569
Kitwancool	1980	200	NA	0.561
Kitwancool	1985	4400	NA	0.542
Kitwancool	2000	231	2224	0.525
Kitwancool	2001	221	4082	0.492
Kitwancool	2002	978	4850	0.46
Kitwancool	2003	3377	1367	0.339
Kitwancool	2004	1317	4306	0.387
Kitwancool	2005	937	NA	0.249
Kitwancool	2006	5139	NA	0.395
Kitwancool	2007	245	NA	0.489
Kitwancool	2008	1200	NA	0.426
Kitwancool	2009	3047	NA	0.188
Kitwancool	2010	20804	NA	0.181
Lakelse	1954	17957	NA	NA
Lakelse	1955	8053	NA	NA
Lakelse	1956	7781	17682	NA
Lakelse	1957	16760	21644	NA
Lakelse	1958	17957	26190	NA
Lakelse	1959	17957	52787	NA
Lakelse	1960	11294	89911	0.251
Lakelse	1961	14807	78125	0.238
Lakelse	1962	17249	48870	0.26
Lakelse	1963	19826	37574	0.159
Lakelse	1964	52169	25234	0.251
Lakelse	1965	87341	16194	0.213
Lakelse	1966	39681	11321	0.296
Lakelse	1967	29299	8168	0.325
Lakelse	1968	24813	6652	0.287
Lakelse	1969	14148	6770	0.236
Lakelse	1970	11318	7411	0.238
Lakelse	1971	6530	8039	0.258
Lakelse	1972	5768	8337	0.264
Lakelse	1973	3918	12483	0.295
Lakelse	1974	5224	18006	0.319
Lakelse	1975	5659	29529	0.199
Lakelse	1976	6530	30763	0.27
Lakelse	1977	5060	33226	0.273
Lakelse	1978	11753	30402	0.283
Lakelse	1979	12406	19100	0.265
Lakelse	1980	29296	33225	0.279
Lakelse	1981	15889	28272	0.27
Lakelse	1982	29965	9719	0.309
Lakelse	1983	19154	12366	0.147
Lakelse	1984	9468	13013	0.219
Lakelse	1985	36131	7737	0.312
Lakelse	1986	8924	12700	0.257
Lakelse	1987	5278	18532	0.149
Lakelse	1988	10393	19466	0.404
Lakelse	1989	7640	14253	0.287
Lakelse	1990	2677	26914	0.312
Lakelse	1991	13386	39797	0.298
Lakelse	1992	10339	21527	0.424
Lakelse	1993	13603	NA	0.393
Lakelse	1994	3102	NA	0.299
Lakelse	1995	27316	NA	0.365
Lakelse	1996	23561	NA	0.435
Lakelse	1997	3428	NA	0.503
Lakelse	1998	5350	NA	0.194
Lakelse	2001	8962	5905	0.202
