CU,BY,ER,Esc,male_spawn,female_spawn,mature_spawn,effective_spawn,R2.1,R3.1,R3.2,R4.1,R4.2,R4.3,R5.2,R5.3,R6.2,R6.3,R.no.jacks,Rec,Use
Bowron,1976,0.87,2250,1069,1181,2250,1069,0,0,0,0,7112,0,0,0,0,0,7112,7112,y
Bowron,1977,0.77,2500,1125,1375,2500,1214,0,0,0,0,5875,0,9521,0,0,0,15396,15396,y
Bowron,1978,0.8,3150,1240,1901,3141,1678,0,0,0,0,39903,0,724,0,0,0,40627,40627,y
Bowron,1979,0.72,35000,16674,18326,35000,16178,0,0,0,0,15714,0,14270,0,0,0,29984,29984,y
Bowron,1980,0.64,2894,1385,1509,2894,1376,0,0,0,0,39381,0,5789,0,0,0,45170,45170,y
Bowron,1981,0.8,1170,533,637,1170,562,0,0,0,0,14724,0,1808,0,0,0,16532,16532,y
Bowron,1982,0.97,1647,657,990,1647,990,0,0,0,0,3066,0,2211,0,0,0,5277,5277,y
Bowron,1983,0.61,6451,2580,3871,6451,3484,0,0,17,0,36597,0,1535,407,0,0,38539,38556,y
Bowron,1984,0.8,10461,5091,5370,10461,4909,0,0,12,0,44712,0,5879,0,0,0,50591,50603,y
Bowron,1985,0.69,6395,3080,3315,6395,3030,0,0,0,0,16449,0,2728,0,0,0,19177,19177,y
Bowron,1986,0.36,3131,1591,1527,3118,1396,0,0,0,0,20562,0,636,0,0,0,21198,21198,y
Bowron,1987,0.71,11079,5411,5660,11071,5660,0,0,132,0,18171,0,4289,0,0,0,22460,22592,y
Bowron,1988,0.73,12780,5187,7593,12780,7405,0,0,0,0,11669,0,1381,0,0,0,13050,13050,y
Bowron,1989,0.89,2534,1167,1367,2534,1367,0,0,0,0,4945,0,7897,0,0,0,12842,12842,y
Bowron,1990,0.66,7992,2561,5299,7860,5065,0,0,0,0,18847,0,12283,0,0,0,31130,31130,y
Bowron,1991,0.74,4919,2459,2460,4919,2460,0,0,114,0,47542,0,1083,68,0,0,48693,48807,y
